data_hora,cidade,aqi,hora,periodo_dia,tendencia_aqi,variacao_imediata
2026-02-28 01:18:51,beijing,122.0,1,Madrugada,122.0,0.0
2026-02-28 01:50:42,beijing,122.0,1,Madrugada,122.0,0.0
2026-02-28 06:37:55,beijing,122.0,6,Manhã,122.0,0.0
2026-02-28 12:44:00,beijing,151.0,12,Tarde,131.66666666666666,29.0
2026-02-28 18:32:42,beijing,147.0,18,Noite,140.0,-4.0
2026-03-01 02:12:36,beijing,139.0,2,Madrugada,145.66666666666666,-8.0
2026-03-01 06:44:45,beijing,161.0,6,Manhã,149.0,22.0
2026-03-01 12:47:30,beijing,164.0,12,Tarde,154.66666666666666,3.0
2026-03-01 18:33:13,beijing,156.0,18,Noite,160.33333333333334,-8.0
2026-03-02 02:03:41,beijing,174.0,2,Madrugada,164.66666666666666,18.0
2026-03-02 06:57:40,beijing,174.0,6,Manhã,168.0,0.0
2026-03-02 12:57:50,beijing,167.0,12,Tarde,171.66666666666666,-7.0
2026-03-02 18:46:59,beijing,183.0,18,Noite,174.66666666666666,16.0
2026-03-03 04:15:25,beijing,185.0,4,Madrugada,178.33333333333334,2.0
2026-03-03 05:50:37,beijing,155.0,5,Madrugada,174.33333333333334,-30.0
2026-03-03 06:53:59,beijing,127.0,6,Manhã,155.66666666666666,-28.0
2026-03-03 07:42:52,beijing,114.0,7,Manhã,132.0,-13.0
2026-03-03 08:41:51,beijing,53.0,8,Manhã,98.0,-61.0
2026-03-03 09:42:37,beijing,38.0,9,Manhã,68.33333333333333,-15.0
2026-03-03 10:40:00,beijing,36.0,10,Manhã,42.333333333333336,-2.0
2026-03-03 11:33:09,beijing,80.0,11,Manhã,51.333333333333336,44.0
2026-03-03 12:59:15,beijing,70.0,12,Tarde,62.0,-10.0
2026-03-03 14:03:16,beijing,50.0,14,Tarde,66.66666666666667,-20.0
2026-03-03 15:47:38,beijing,38.0,15,Tarde,52.666666666666664,-12.0
2026-03-03 16:50:54,beijing,34.0,16,Tarde,40.666666666666664,-4.0
2026-03-03 17:43:48,beijing,22.0,17,Tarde,31.333333333333332,-12.0
2026-03-03 19:40:45,beijing,25.0,19,Noite,27.0,3.0
2026-03-03 20:33:47,beijing,24.0,20,Noite,23.666666666666668,-1.0
2026-03-03 21:34:58,beijing,22.0,21,Noite,23.666666666666668,-2.0
2026-03-03 22:30:30,beijing,107.0,22,Noite,51.0,85.0
2026-03-03 23:28:49,beijing,170.0,23,Noite,99.66666666666667,63.0
